time_s,x,y
0.000,-0.075,1.329
0.101,1.015,1.111
0.209,1.053,1.133
0.312,1.108,1.134
0.415,1.157,1.131
0.515,1.157,1.131
0.616,1.195,1.141
0.722,1.218,1.173
0.823,1.244,1.229
0.929,1.274,1.267
1.029,1.274,1.267
1.131,1.325,1.285
1.232,1.377,1.305
1.333,1.423,1.321
1.446,1.443,1.351
1.557,1.456,1.414
1.670,1.456,1.414
1.781,1.469,1.467
1.897,1.500,1.503
2.011,1.547,1.540
2.123,1.591,1.573
2.236,1.608,1.607
2.348,1.605,1.669
2.449,1.597,1.735
2.560,1.597,1.735
2.672,1.606,1.780
2.783,1.632,1.831
2.896,1.662,1.879
2.997,1.680,1.916
3.108,1.667,1.941
3.218,1.634,1.940
3.319,1.634,1.940
3.420,1.619,1.923
3.520,1.624,1.925
3.628,1.629,1.937
3.732,1.626,1.946
3.832,1.626,1.946
3.946,1.640,1.935
4.046,1.613,1.938
4.146,1.592,1.925
4.246,1.592,1.925
4.348,1.592,1.925
4.458,1.597,1.933
4.566,1.581,1.948
4.666,1.551,1.935
4.767,1.494,1.909
4.877,1.450,1.894
4.982,1.450,1.894
5.082,1.430,1.902
5.197,1.406,1.925
5.297,1.376,1.950
5.398,1.342,1.948
5.499,1.302,1.914
5.600,1.302,1.914
5.705,1.254,1.876
5.806,1.221,1.866
5.908,
