time_s,x,y
0.000,-0.012,1.313
0.100,1.010,1.080
0.200,1.036,1.091
0.301,1.066,1.095
0.402,1.095,1.090
0.502,1.095,1.090
0.603,1.120,1.085
0.705,1.149,1.098
0.806,1.174,1.120
0.919,1.199,1.134
1.029,1.199,1.134
1.129,1.232,1.138
1.233,1.262,1.134
1.342,1.290,1.130
1.452,1.322,1.135
1.562,1.352,1.146
1.663,1.352,1.146
1.766,1.381,1.161
1.869,1.416,1.166
1.970,1.452,1.163
2.072,1.481,1.155
2.172,1.481,1.155
2.282,1.515,1.158
2.392,1.546,1.171
2.492,1.576,1.188
2.593,1.609,1.199
2.701,1.644,1.203
2.813,1.644,1.203
2.914,1.676,1.195
3.022,1.708,1.192
3.137,1.743,1.199
3.239,1.775,1.216
3.349,1.807,1.231
3.450,1.845,1.235
3.552,1.845,1.235
3.652,1.879,1.229
3.753,1.911,1.222
3.854,1.948,1.227
3.954,1.948,1.227
4.068,1.981,1.240
4.178,2.012,1.257
4.287,2.050,1.266
4.387,2.085,1.264
4.489,2.118,1.254
4.589,2.118,1.254
4.691,2.152,1.255
4.791,2.189,1.267
4.902,2.221,1.285
5.004,2.257,1.294
5.117,2.294,1.294
5.229,2.294,1.294
5.341,2.328,1.286
5.441,2.362,1.284
5.551,2.401,1.291
5.661,2.435,1.307
5.771,2.469,1.320
5.881,2.469,1.320
5.990,2.506,1.323
6.100,2.540,1.316
6.209,2.575,1.307
6.316,2.616,1.312
6.422,2.652,1.326
6.536,2.684,1.339
6.646,2.723,1.345
6.756,2.723,1.345
6.856,2.761,1.342
6.957,2.794,1.331
7.071,2.832,1.331
7.172,2.869,1.340
7.273,2.869,1.340
7.373,2.903,1.357
7.474,2.942,1.368
7.583,2.982,1.365
7.693,3.016,1.352
7.803,3.054,1.347
7.912,3.054,1.347
8.013,3.093,1.354
8.113,3.091,1.350
8.214,3.127,1.357
8.314,3.166,1.372
8.414,3.166,1.372
8.523,3.202,1.382
8.637,3.240,1.383
8.737,3.277,1.370
8.839,3.313,1.361
8.940,3.351,1.365
9.056,3.351,1.365
9.156,3.386,1.379
9.256,3.422,1.392
9.356,3.460,1.396
9.468,3.500,1.386
9.568,3.535,1.372
9.668,3.535,1.372
9.769,3.571,1.373
9.870,3.607,1.380
9.972,3.644,1.393
10.072,3.644,1.393
10.173,3.682,1.398
10.273,3.721,1.392
10.373,3.758,1.377
10.485,3.794,1.374
10.597,3.830,1.377
10.697,3.830,1.377
10.797,3.866,1.391
10.905,3.904,1.399
11.015,3.944,1.400
11.125,3.981,1.386
11.226,4.015,1.378
11.326,4.015,1.378
11.437,4.053,1.381
11.537,4.090,1.393
11.637,4.125,1.406
11.737,4.164,1.408
11.839,4.164,1.408
11.939,4.201,1.398
12.039,4.235,1.385
12.139,4.272,1.384
12.239,4.272,1.384
12.347,4.309,1.394
12.448,4.345,1.409
12.548,4.385,1.414
12.656,4.422,1.408
12.756,4.455,1.392
12.857,4.455,1.392
12.958,4.492,1.389
13.059,4.529,1.395
13.160,4.565,1.409
13.260,4.565,1.409
13.370,4.602,1.417
13.471,4.641,1.416
13.571,4.676,1.403
13.671,4.712,1.396
13.771,4.712,1.396
13.886,4.751,1.398
13.987,4.787,1.409
14.087,4.823,1.419
14.189,4.862,1.418
14.291,4.862,1.418
14.391,4.898,1.404
14.492,4.933,1.392
14.604,4.971,1.392
14.706,5.008,1.401
14.812,5.042,1.414
14.921,5.042,1.414
15.036,5.082,1.416
15.137,5.118,1.407
15.240,5.150,1.392
15.341,5.186,1.390
15.441,5.225,1.397
15.541,5.225,1.397
15.641,5.259,1.408
15.742,5.296,1.414
15.851,5.335,1.408
15.956,5.367,1.392
16.056,5.367,1.392
16.171,5.402,1.384
16.271,5.438,1.387
16.371,5.471,1.400
