time_s,x,y
0.000,0.026,1.419
0.112,1.012,0.999
0.223,1.026,0.989
0.333,1.038,0.982
0.442,1.057,0.972
0.543,1.077,0.962
0.647,1.077,0.962
0.757,1.100,0.958
0.867,1.120,0.957
0.968,1.138,0.959
1.072,1.156,0.961
1.172,1.173,0.966
1.276,1.173,0.966
1.376,1.190,0.967
1.477,1.215,0.969
1.577,1.241,0.969
1.678,1.266,0.964
1.779,1.266,0.964
1.879,1.287,0.957
1.980,1.305,0.949
2.080,1.321,0.937
2.181,1.321,0.937
2.282,1.334,0.926
2.396,1.348,0.914
2.506,1.368,0.901
2.615,1.389,0.890
2.725,1.411,0.884
2.835,1.430,0.879
2.945,1.449,0.878
3.055,1.449,0.878
3.156,1.469,0.879
3.259,1.487,0.880
3.369,1.508,0.879
3.479,1.535,0.878
3.589,1.561,0.874
3.689,1.561,0.874
3.793,1.585,0.864
3.903,1.606,0.851
4.013,1.621,0.840
4.114,1.637,0.824
4.215,1.637,0.824
4.327,1.647,0.809
4.437,1.662,0.795
4.537,1.679,0.780
4.638,1.701,0.767
4.739,1.724,0.758
4.846,1.724,0.758
4.948,1.743,0.751
5.049,1.762,0.748
5.150,1.783,0.747
5.250,1.803,0.746
5.350,1.803,0.746
5.461,1.824,0.741
5.562,1.850,0.734
5.663,1.875,0.724
5.775,1.897,0.711
5.885,1.915,0.697
5.995,1.915,0.697
6.097,1.928,0.681
6.197,1.940,0.664
6.298,1.950,0.649
6.404,1.963,0.633
6.514,1.963,0.633
6.625,1.980,0.614
6.736,2.000,0.600
6.848,2.021,0.590
6.958,2.040,0.582
7.059,2.060,0.577
7.160,2.080,0.573
7.260,2.080,0.573
7.361,2.098,0.567
7.463,2.121,0.560
7.572,2.145,0.551
7.682,2.168,0.536
7.793,2.187,0.520
7.898,2.187,0.520
8.012,2.202,0.504
8.122,2.213,0.486
8.232,2.222,0.468
8.343,2.230,0.452
8.453,2.242,0.433
8.562,2.257,0.414
8.672,2.257,0.414
8.773,2.276,0.398
8.877,2.294,0.385
8.987,2.311,0.377
9.097,2.332,0.370
9.207,2.352,0.362
9.317,2.352,0.362
9.427,2.369,0.354
9.529,2.392,0.344
9.630,2.413,0.330
9.742,2.433,0.311
9.852,2.448,0.293
9.962,2.460,0.276
10.062,2.460,0.276
10.163,2.468,0.256
10.270,2.474,0.236
10.371,2.479,0.220
10.471,2.490,0.199
10.576,2.490,0.199
10.686,2.503,0.180
10.786,2.521,0.163
10.887,2.537,0.149
10.987,2.556,0.136
11.088,2.556,0.136
11.190,2.576,0.126
11.291,2.594,0.116
11.392,2.612,0.104
11.506,2.633,0.091
11.606,2.653,0.074
11.706,2.653,0.074
11.807,2.674,0.078
11.907,2.689,0.083
12.010,2.701,0.085
12.114,2.701,0.085
12.215,2.714,0.085
12.325,2.730,0.084
12.435,2.741,0.082
12.538,2.754,0.077
12.638,2.768,0.071
12.739,2.768,0.071
12.840,2.786,0.066
12.940,2.806,0.062
13.041,2.827,0.062
13.142,2.848,0.064
13.242,2.848,0.064
13.348,2.864,0.064
13.458,2.886,0.060
13.558,2.910,0.058
13.662,2.936,0.061
13.773,2.936,0.061
13.885,2.955,0.071
13.997,2.973,0.077
14.109,2.989,0.081
14.221,3.004,0.084
14.325,3.022,0.084
14.426,3.037,0.080
14.535,3.054,0.076
14.646,3.054,0.076
14.756,3.074,0.073
14.866,3.093,0.071
14.966,3.112,0.074
15.067,3.126,0.079
15.181,3.145,0.081
15.291,3.145,0.081
15.401,3.165,0.083
15.501,3.181,0.087
15.603,3.201,0.089
15.715,3.229,0.093
15.819,3.256,0.092
15.919,3.256,0.092
16.020,3.281,0.083
16.124,3.301,0.074
16.228,3.320,0.080
16.329,3.337,0.085
16.439,3.337,0.085
16.549,3.349,0.085
16.659,3.363,0.085
16.769,3.383,0.078
16.870,3.406,0.076
16.971,3.428,0.074
17.071,3.428,0.074
17.172,3.446,0.071
17.272,3.465,0.074
17.384,3.487,0.080
17.494,3.504,0.085
17.605,3.525,0.087
17.717,3.525,0.087
17.830,3.552,0.088
17.942,3.580,0.086
18.054,3.606,0.080
18.166,3.627,0.071
18.278,3.644,0.078
18.390,3.659,0.081
18.502,3.673,0.080
18.613,3.689,0.075
18.725,3.689,0.075
18.837,3.711,0.069
18.949,3.734,0.069
19.061,3.756,0.068
19.173,3.777,0.066
19.285,3.796,0.071
19.398,3.817,0.077
19.510,3.817,0.077
19.622,3.835,0.082
19.733,3.859,0.085
19.843,3.887,0.086
19.944,3.915,0.083
20.045,3.939,0.076
20.145,3.939,0.076
20.246,3.959,0.071
20.346,3.977,0.078
