time_s,x,y
0.000,-0.062,1.268
0.105,1.026,0.905
0.215,1.056,0.894
0.317,1.083,0.891
0.417,1.110,0.895
0.518,1.110,0.895
0.619,1.136,0.903
0.731,1.161,0.905
0.832,1.195,0.897
0.932,1.228,0.884
1.033,1.261,0.876
1.133,1.261,0.876
1.238,1.292,0.879
1.339,1.319,0.885
1.444,1.345,0.892
1.544,1.380,0.889
1.644,1.380,0.889
1.745,1.414,0.882
1.850,1.447,0.871
1.951,1.481,0.872
2.051,1.481,0.872
2.152,1.511,0.876
2.254,1.537,0.885
2.355,1.572,0.885
2.457,1.608,0.877
2.558,1.608,0.877
2.659,1.644,0.861
2.769,1.680,0.857
2.870,1.712,0.863
2.970,1.739,0.875
3.071,1.772,0.882
3.172,1.772,0.882
3.272,1.808,0.881
3.372,1.844,0.870
3.473,1.880,0.864
3.573,1.880,0.864
3.687,1.915,0.868
3.788,1.943,0.877
3.889,1.973,0.886
3.989,2.011,0.884
4.090,2.011,0.884
4.205,2.049,0.872
4.305,2.086,0.861
4.406,2.122,0.863
4.506,2.153,0.873
4.607,2.153,0.873
4.707,2.182,0.887
4.807,2.220,0.894
4.908,2.256,0.892
5.008,2.292,0.883
5.122,2.331,0.885
5.232,2.331,0.885
5.342,2.363,0.894
5.451,2.390,0.908
5.552,2.426,0.913
5.653,2.467,0.910
5.753,2.505,0.899
5.855,2.505,0.899
5.968,2.541,0.896
6.069,2.577,0.903
6.184,2.608,0.918
6.285,2.638,0.931
6.389,2.638,0.931
6.501,2.675,0.937
6.603,2.712,0.933
6.703,2.751,0.928
6.804,2.787,0.935
6.904,2.814,0.948
7.007,2.814,0.948
7.121,2.842,0.962
7.231,2.885,0.966
7.341,2.926,0.961
7.452,2.961,0.953
7.557,2.999,0.958
7.672,3.032,0.972
7.772,3.032,0.972
7.873,3.061,0.989
7.973,3.096,1.001
8.087,3.093,0.993
8.202,3.126,1.004
8.311,3.167,1.009
8.423,3.167,1.009
8.523,3.207,1.004
8.624,3.242,1.007
8.724,3.274,1.019
8.824,3.303,1.035
8.939,3.333,1.045
9.040,3.333,1.045
9.140,3.370,1.049
9.255,3.413,1.042
9.355,3.454,1.042
9.456,3.488,1.053
9.556,3.488,1.053
9.657,3.513,1.072
9.758,3.538,1.088
9.861,3.575,1.100
9.962,3.616,1.102
10.062,3.616,1.102
10.170,3.653,1.102
10.271,3.685,1.116
10.372,3.715,1.131
10.472,3.742,1.149
10.588,3.742,1.149
10.688,3.775,1.161
10.797,3.815,1.164
10.905,3.856,1.159
11.015,3.895,1.167
11.116,3.924,1.183
11.221,3.924,1.183
11.330,3.946,1.205
11.440,3.975,1.223
11.541,4.011,1.236
11.651,4.050,1.238
11.754,4.084,1.248
11.855,4.084,1.248
11.955,4.116,1.264
12.056,4.141,1.284
12.166,4.167,1.302
12.272,4.202,1.316
12.382,4.243,1.320
12.483,4.243,1.320
12.591,4.282,1.324
12.701,4.315,1.340
12.805,4.339,1.362
12.915,4.359,1.386
13.027,4.359,1.386
13.135,4.390,1.406
13.244,4.424,1.420
13.351,4.461,1.427
13.458,4.495,1.443
13.572,4.523,1.462
13.673,4.543,1.485
13.775,4.543,1.485
13.876,4.571,1.508
13.982,4.608,1.523
14.088,4.647,1.527
14.198,4.684,1.538
14.298,4.711,1.560
14.404,4.730,1.588
14.504,4.730,1.588
14.619,4.752,1.614
14.720,4.782,1.635
14.820,4.817,1.648
14.921,4.851,1.663
15.021,4.851,1.663
15.135,4.879,1.687
15.235,4.898,1.712
15.336,4.918,1.736
15.437,4.952,1.758
15.540,4.952,1.758
15.641,4.986,1.774
15.741,5.017,1.785
15.856,5.049,1.808
15.956,5.074,1.834
16.057,5.074,1.834
16.157,5.091,1.859
16.257,5.112,1.884
16.358,5.140,1.905
16.459,5.177,1.918
16.559,5.177,1.918
16.670,5.211,1.936
16.774,5.243,1.928
16.888,5.259,1.923
16.998,5.281,1.930
17.105,5.314,1.933
17.215,5.350,1.924
17.316,5.350,1.924
17.416,5.380,1.923
17.522,5.410,1.924
17.622,5.430,1.924
17.733,5.430,1.924
17.843,5.452,1.927
17.953,5.488,1.929
