time_s,x,y
0.000,0.000,0.000
0.110,1.020,0.991
0.220,1.050,0.951
0.330,1.071,0.898
0.440,1.082,0.847
0.549,1.085,0.800
0.656,1.085,0.759
0.769,1.095,0.727
0.879,1.095,0.727
0.989,1.111,0.704
1.098,1.130,0.685
1.208,1.164,0.673
1.318,1.213,0.667
1.428,1.260,0.674
1.538,1.297,0.681
1.648,1.297,0.681
1.756,1.330,0.678
1.868,1.366,0.666
1.978,1.395,0.647
2.088,1.423,0.617
2.198,1.439,0.568
2.308,1.445,0.512
2.418,1.445,0.512
2.528,1.440,0.465
2.637,1.433,0.420
2.747,1.429,0.378
2.847,1.434,0.346
2.952,1.446,0.325
3.053,1.446,0.325
3.154,1.464,0.302
3.257,1.500,0.283
3.359,1.547,0.276
3.470,1.588,0.278
3.580,1.625,0.273
3.690,1.625,0.273
3.800,1.659,0.257
3.910,1.687,0.236
4.020,1.708,0.210
4.129,1.726,0.170
4.239,1.729,0.113
4.349,1.720,0.082
4.458,1.718,0.088
4.558,1.718,0.088
4.663,1.723,0.092
4.773,1.739,0.089
4.883,1.761,0.090
4.993,1.792,0.087
5.103,1.834,0.089
5.213,1.834,0.089
5.323,1.885,0.107
5.432,1.928,0.141
5.542,1.962,0.167
5.652,1.996,0.184
5.759,2.034,0.194
5.859,2.068,0.197
5.959,2.068,0.197
6.059,2.100,0.187
6.171,2.139,0.158
6.281,2.168,0.115
6.382,2.188,0.086
6.484,2.188,0.086
6.594,2.210,0.083
6.704,2.227,0.078
6.814,2.253,0.075
6.924,2.282,0.087
7.033,2.311,0.101
7.143,2.348,0.122
7.253,2.348,0.122
7.360,2.383,0.160
7.460,2.405,0.208
7.560,2.425,0.247
7.660,2.452,0.275
7.760,2.486,0.299
7.860,2.486,0.299
7.960,2.519,0.313
8.061,2.559,0.317
8.161,2.612,0.300
8.261,2.612,0.300
8.361,2.661,0.272
8.461,2.692,0.240
8.561,2.722,0.205
8.661,2.722,0.205
8.761,2.756,0.171
8.861,2.785,0.153
8.961,2.811,0.145
9.061,2.841,0.141
9.161,2.841,0.141
9.261,2.882,0.151
9.362,2.920,0.178
9.467,2.942,0.214
9.577,2.970,0.239
9.687,2.970,0.239
9.797,3.007,0.254
9.907,3.043,0.262
10.017,3.077,0.262
10.127,3.119,0.252
10.237,3.165,0.242
10.347,3.203,0.203
10.457,3.239,0.165
10.563,3.239,0.165
10.663,3.263,0.124
10.763,3.277,0.085
10.863,3.297,0.061
10.963,3.323,0.051
11.063,3.323,0.051
11.163,3.347,0.047
11.263,3.380,0.052
11.363,3.427,0.074
11.468,3.472,0.116
11.573,3.472,0.116
11.683,3.502,0.145
11.793,3.527,0.160
11.903,3.561,0.168
12.012,3.601,0.170
12.123,3.629,0.158
12.233,3.629,0.158
12.343,3.650,0.119
12.453,3.671,0.079
12.563,3.696,0.080
12.664,3.706,0.077
12.764,3.719,0.070
12.877,3.741,0.071
12.987,3.741,0.071
13.097,3.766,0.080
13.207,3.799,0.094
13.317,3.834,0.122
13.427,3.871,0.165
13.537,3.896,0.211
13.647,3.913,0.245
13.757,3.913,0.245
13.865,3.938,0.271
13.965,3.973,0.291
14.071,4.011,0.301
14.180,4.054,0.296
14.282,4.100,0.270
14.386,4.100,0.270
14.496,4.146,0.241
14.606,4.179,0.209
14.716,4.204,0.173
14.826,4.231,0.142
14.935,4.258,0.125
15.045,4.282,0.118
15.156,4.311,0.114
15.265,4.311,0.114
15.366,4.352,0.129
15.466,4.393,0.161
15.566,4.425,0.193
15.666,4.425,0.193
15.766,4.453,0.212
15.866,4.490,0.221
15.966,4.527,0.226
16.066,4.563,0.220
16.176,4.563,0.220
16.287,4.604,0.198
16.397,4.642,0.157
16.506,4.670,0.117
16.616,4.691,0.081
16.726,4.714,0.074
16.836,4.735,0.066
16.945,4.735,0.066
17.055,4.763,0.071
17.164,4.793,0.081
17.267,4.830,0.098
17.367,4.867,0.128
17.467,4.894,0.171
17.567,4.894,0.171
17.667,4.917,0.209
17.776,4.944,0.235
17.886,4.979,0.256
