time_s,x,y
0.000,-0.054,1.329
0.110,1.022,1.056
0.221,1.067,1.056
0.321,1.126,1.045
0.422,1.169,1.038
0.528,1.198,1.049
0.628,1.198,1.049
0.735,1.232,1.079
0.835,1.275,1.125
0.936,1.317,1.147
1.037,1.375,1.153
1.137,1.375,1.153
1.238,1.428,1.156
1.338,1.470,1.161
1.453,1.499,1.192
1.553,1.530,1.255
1.657,1.530,1.255
1.768,1.560,1.292
1.873,1.612,1.313
1.986,1.665,1.330
2.096,1.711,1.347
2.198,1.730,1.379
2.298,1.730,1.379
2.405,1.744,1.448
2.506,1.758,1.506
2.612,1.793,1.540
2.721,1.840,1.574
2.824,1.882,1.607
2.926,1.882,1.607
3.029,1.902,1.639
3.130,1.901,1.697
3.240,1.892,1.761
3.340,1.906,1.807
3.441,1.906,1.807
3.555,1.940,1.857
3.665,1.973,1.902
3.775,1.994,1.918
3.876,1.986,1.932
3.985,1.970,1.927
4.086,1.970,1.927
4.188,1.967,1.910
4.289,1.999,1.908
4.391,2.034,1.909
4.503,2.065,1.894
4.605,2.068,1.876
4.705,2.068,1.876
4.808,2.070,1.916
4.909,2.073,1.908
5.013,2.097,1.900
5.121,2.130,1.903
5.223,2.130,1.903
5.326,2.167,1.900
5.426,2.180,1.895
5.536,2.182,1.920
5.639,2.190,1.911
5.751,2.218,1.906
5.863,2.218,1.906
5.972,2.261,1.902
6.084,2.298,1.898
6.188,2.321,1.885
6.300,2.332,1.908
6.401,2.365,1.908
6.502,2.365,1.908
6.602,2.390,1.898
6.705,2.429,1.888
6.815,2.473,1.878
6.915,2.505,1.861
7.019,2.505,1.861
7.129,2.523,1.873
7.238,2.564,1.914
7.348,2.598,1.915
7.456,2.635,1.911
7.566,2.685,1.912
7.675,2.730,1.904
7.788,2.750,1.908
7.898,2.750,1.908
8.002,2.797,1.914
8.103,2.835,1.928
8.204,2.876,1.930
8.306,2.936,1.919
8.406,2.936,1.919
8.518,2.982,1.903
8.627,3.013,1.903
8.737,3.056,1.912
8.838,3.109,1.927
8.939,3.109,1.927
9.048,3.088,1.913
9.149,3.141,1.929
9.250,3.195,1.933
9.355,3.258,1.913
9.455,3.307,1.894
9.556,3.307,1.894
9.663,3.343,1.885
9.765,3.368,1.906
9.873,3.420,1.929
9.988,3.477,1.936
10.091,3.538,1.921
10.191,3.538,1.921
10.302,3.589,1.904
10.403,3.626,1.883
10.504,3.653,1.895
10.605,3.695,1.921
10.707,3.747,1.929
10.818,3.747,1.929
10.923,3.795,1.925
11.027,3.849,1.905
11.128,3.894,1.881
11.235,3.923,1.886
11.343,3.923,1.886
11.444,3.961,1.915
11.551,4.013,1.933
11.662,4.058,1.937
11.772,4.113,1.926
11.882,4.165,1.911
11.982,4.165,1.911
12.084,4.202,1.902
12.184,4.235,1.919
12.285,4.293,1.929
12.385,4.338,1.939
12.490,4.338,1.939
12.601,4.392,1.926
12.711,4.445,1.902
12.821,4.484,1.884
12.922,4.513,1.903
13.023,4.564,1.925
13.124,4.564,1.925
13.228,4.611,1.940
13.338,4.662,1.934
13.439,4.715,1.912
13.541,4.759,1.882
13.653,4.759,1.882
13.765,4.837,1.915
13.877,4.837,1.915
13.989,4.895,1.930
14.089,4.941,1.930
14.202,4.994,1.911
14.315,5.046,1.888
14.415,5.084,1.883
14.520,5.084,1.883
14.621,5.120
