time_s,x,y
0.000,0.000,0.000
0.110,1.015,1.016
0.220,1.033,1.005
0.329,1.050,0.993
0.439,1.070,0.979
0.549,1.090,0.967
0.659,1.112,0.961
0.769,1.139,0.960
0.879,1.139,0.960
0.983,1.170,0.966
1.098,1.208,0.983
1.208,1.241,1.003
1.318,1.267,1.013
1.428,1.292,1.013
1.538,1.292,1.013
1.648,1.319,1.008
1.758,1.347,0.999
1.868,1.371,0.985
1.978,1.392,0.965
2.080,1.413,0.941
2.182,1.429,0.918
2.284,1.429,0.918
2.384,1.447,0.896
2.484,1.469,0.881
2.590,1.493,0.869
2.700,1.522,0.861
2.810,1.522,0.861
2.919,1.553,0.857
3.029,1.589,0.861
3.139,1.629,0.876
3.249,1.663,0.888
3.359,1.693,0.891
3.468,1.722,0.887
3.579,1.752,0.876
3.685,1.752,0.876
3.785,1.778,0.863
3.885,1.800,0.845
3.985,1.822,0.821
4.085,1.839,0.792
4.185,1.839,0.792
4.285,1.853,0.765
4.385,1.871,0.740
4.485,1.892,0.722
4.586,1.919,0.707
4.686,1.919,0.707
4.788,1.950,0.694
4.898,1.983,0.686
5.007,2.023,0.688
5.117,2.060,0.697
5.227,2.094,0.702
5.337,2.094,0.702
5.447,2.125,0.700
5.557,2.156,0.689
5.667,2.184,0.674
5.777,2.209,0.656
5.886,2.228,0.632
5.987,2.228,0.632
6.087,2.245,0.604
6.187,2.258,0.574
6.287,2.271,0.544
6.389,2.286,0.520
6.499,2.286,0.520
6.609,2.304,0.501
6.719,2.328,0.483
6.829,2.358,0.468
6.939,2.394,0.456
7.049,2.435,0.458
7.158,2.471,0.463
7.268,2.471,0.463
7.378,2.502,0.462
7.488,2.532,0.450
7.588,2.561,0.433
7.692,2.587,0.414
7.802,2.606,0.394
7.912,2.621,0.366
8.022,2.621,0.366
8.132,2.633,0.334
8.242,2.643,0.302
8.351,2.648,0.273
8.461,2.662,0.248
8.570,2.681,0.224
8.682,2.709,0.201
8.789,2.709,0.201
8.889,2.740,0.181
8.989,2.776,0.169
9.090,2.814,0.166
9.200,2.845,0.166
9.310,2.877,0.159
9.420,2.877,0.159
9.530,2.907,0.142
9.640,2.931,0.120
9.745,2.951,0.097
9.860,2.967,0.076
9.970,2.979,0.078
10.080,2.985,0.078
10.190,2.985,0.078
10.290,3.003,0.079
10.394,3.020,0.081
10.503,3.034,0.086
10.613,3.055,0.090
10.723,3.086,0.095
10.833,3.086,0.095
10.943,3.118,0.101
11.053,3.118,0.101
11.163,3.193,0.137
11.273,3.230,0.160
11.383,3.255,0.169
11.491,3.276,0.168
11.591,3.276,0.168
11.691,3.299,0.164
11.791,3.324,0.156
11.891,3.346,0.144
11.991,3.364,0.121
12.091,3.364,0.121
12.191,3.382,0.097
12.291,3.398,0.074
12.391,3.414,0.068
12.491,3.429,0.061
12.607,3.429,0.061
12.716,3.451,0.060
12.826,3.477,0.063
12.936,3.477,0.063
13.046,3.477,0.063
13.156,3.572,0.099
13.266,3.605,0.117
13.374,3.605,0.117
13.486,3.630,0.124
13.592,3.653,0.120
13.692,3.679,0.113
13.792,3.705,0.107
13.892,3.705,0.107
13.993,3.727,0.090
14.093,3.749,0.075
14.193,3.767,0.071
14.293,3.782,0.066
14.393,3.782,0.066
14.493,3.799,0.063
14.593,3.817,0.060
14.696,3.840,0.063
14.805,3.870,0.072
14.916,3.870,0.072
15.026,3.870,0.072
15.136,3.870,0.072
15.246,3.964,0.129
15.356,3.990,0.148
15.466,4.014,0.157
15.576,4.039,0.157
15.686,4.066,0.153
15.794,4.066,0.153
15.894,4.094,0.149
15.994,4.119,0.136
16.094,4.142,0.117
16.194,4.163,0.095
16.294,4.163,0.095
16.394,4.183,0.074
16.502,4.204,0.057
16.613,4.227,0.046
16.722,4.254,0.042
16.833,4.285,0.042
16.943,4.285,0.042
17.053,4.285,0.042
17.163,4.353,0.057
17.272,4.389,0.082
17.382,4.418,0.096
17.492,4.448,0.096
17.595,4.476,0.089
17.695,4.476,0.089
17.795,4.506,0.081
17.895,4.533,0.071
17.996,4.558,0.069
18.103,4.576,0.069
18.213,4.576,0.069
18.323,4.593,0.066
18.433,4.614,0.066
18.543,4.635,0.066
18.653,4.658,0.072
18.763,4.686,0.079
18.872,4.686,0.079
18.982,4.717,0.088
19.092,4.749,0.105
19.196,4.780,0.140
19.311,4.805,0.170
19.421,4.831,0.186
19.530,4.859,0.191
19.640,4.888,0.192
19.750,4.918,0.193
19.859,4.918,0.193
19.970,4.944,0.188
20.080,4.970,0.172
20.189,4.995,0.153
