time_s,x,y
0.000,-0.008,1.272
0.100,1.183,1.242
0.201,1.243,1.246
0.315,1.274,1.286
0.418,1.263,1.348
0.519,1.208,1.400
0.619,1.208,1.400
0.720,1.202,1.447
0.820,1.237,1.512
0.928,1.290,1.580
1.038,1.290,1.580
1.149,1.331,1.640
1.249,1.288,1.707
1.350,1.210,1.744
1.450,1.158,1.772
1.558,1.138,1.834
1.668,1.138,1.834
1.779,1.124,1.909
1.889,1.088,1.953
1.990,1.014,1.938
2.094,1.110,1.665
2.204,1.007,1.607
2.314,1.110,1.573
2.424,1.110,1.573
2.524,1.060,1.607
2.624,1.003,1.642
2.727,1.069,1.701
2.837,1.044,1.648
2.938,1.044,1.648
3.038,1.035,1.591
3.138,1.051,1.826
