time_s,x,y
0.000,-0.107,1.322
0.111,1.009,0.956
0.220,1.034,0.945
0.330,1.065,0.946
0.440,1.094,0.953
0.551,1.119,0.956
0.661,1.147,0.946
0.762,1.147,0.946
0.862,1.173,0.933
0.963,1.198,0.918
1.063,1.231,0.914
1.164,1.263,0.918
1.265,1.263,0.918
1.370,1.293,0.927
1.480,1.324,0.924
1.582,1.353,0.914
1.682,1.382,0.897
1.783,1.382,0.897
1.884,1.413,0.889
1.984,1.449,0.892
2.085,1.482,0.903
2.185,1.513,0.905
2.286,1.513,0.905
2.386,1.545,0.895
2.500,1.574,0.879
2.601,1.605,0.869
2.702,1.643,0.869
2.817,1.643,0.869
2.917,1.676,0.879
3.018,1.707,0.887
3.118,1.742,0.882
3.219,1.774,0.869
3.320,1.774,0.869
3.420,1.804,0.856
3.520,1.843,0.853
3.621,1.878,0.859
3.722,1.910,0.866
3.829,1.946,0.863
3.939,1.946,0.863
4.039,1.978,0.855
4.140,2.009,0.841
4.245,2.046,0.836
4.351,2.084,0.842
4.451,2.084,0.842
4.552,2.118,0.857
4.652,2.153,0.862
4.759,2.187,0.859
4.868,2.217,0.849
4.968,2.217,0.849
5.068,2.254,0.843
5.169,2.294,0.845
5.269,2.328,0.855
5.380,2.361,0.863
5.484,2.361,0.863
5.585,2.397,0.862
5.685,2.430,0.851
5.786,2.463,0.842
5.899,2.505,0.847
6.001,2.540,0.858
6.102,2.540,0.858
6.203,2.572,0.869
6.303,2.611,0.870
6.404,2.646,0.864
6.504,2.678,0.855
6.605,2.678,0.855
6.706,2.717,0.855
6.806,2.755,0.863
6.917,2.786,0.878
7.017,2.825,0.884
7.118,2.825,0.884
7.218,2.863,0.881
7.319,2.896,0.871
7.419,2.933,0.869
7.519,2.933,0.869
7.620,2.973,0.877
7.721,3.008,0.893
7.834,3.043,0.905
7.935,3.079,0.904
8.035,3.113,0.895
8.135,3.113,0.895
8.249,3.117,0.908
8.350,3.152,0.900
8.460,3.186,0.895
8.570,3.223,0.904
8.671,3.223,0.904
8.773,3.261,0.919
8.883,3.296,0.930
8.995,3.331,0.932
9.107,3.366,0.928
9.219,3.401,0.922
9.319,3.439,0.928
9.431,3.439,0.928
9.539,3.474,0.941
9.647,3.509,0.960
9.748,3.545,0.968
9.849,3.580,0.968
9.964,3.614,0.961
10.074,3.650,0.963
10.174,3.650,0.963
10.282,3.688,0.974
10.397,3.723,0.994
10.506,3.756,1.006
10.609,3.791,1.010
10.717,3.828,1.005
10.818,3.828,1.005
10.933,3.864,1.004
11.035,3.903,1.014
11.135,3.938,1.032
11.236,3.971,1.048
11.350,4.007,1.055
11.452,4.007,1.055
11.552,4.042,1.055
11.653,4.077,1.051
11.764,4.117,1.057
11.867,4.154,1.072
11.967,4.154,1.072
12.067,4.187,1.092
12.181,4.223,1.104
12.285,4.259,1.105
12.385,4.294,1.102
12.500,4.333,1.108
12.611,4.333,1.108
12.711,4.369,1.123
12.812,4.402,1.147
12.918,4.436,1.163
13.019,4.472,1.170
13.133,4.507,1.166
13.244,4.507,1.166
13.354,4.545,1.170
13.454,4.582,1.186
13.566,4.613,1.208
13.667,4.644,1.226
13.768,4.680,1.235
13.882,4.680,1.235
13.983,4.715,1.236
14.098,4.751,1.235
14.208,4.790,1.250
14.309,4.822,1.273
14.413,4.850,1.297
14.515,4.850,1.297
14.616,4.886,1.312
14.718,4.920,1.316
14.820,4.954,1.317
14.934,4.991,1.331
15.043,5.026,1.351
15.144,5.026,1.351
15.247,5.053,1.376
15.347,5.085,1.393
15.447,5.119,1.402
15.552,5.119,1.402
15.652,5.152,1.402
15.763,5.188,1.413
15.873,5.223,1.432
15.977,5.251,1.457
16.078,5.278,1.477
16.184,5.312,1.491
16.295,5.312,1.491
16.407,5.346,1.494
16.508,5.380,1.498
16.618,5.418,1.517
16.720,5.447,1.540
16.828,5.472,1.565
16.933,5.472,1.565
