time_s,x,y
0.000,-0.117,1.346
0.110,1.019,0.818
0.210,1.040,0.796
0.314,1.063,0.794
0.424,1.126,0.798
0.534,1.179,0.800
0.635,1.179,0.800
0.735,1.226,0.769
0.836,1.265,0.729
0.936,1.294,0.703
1.037,1.294,0.703
1.137,1.321,0.697
1.244,1.380,0.697
1.354,1.438,0.702
1.459,1.483,0.682
1.573,1.529,0.641
1.679,1.562,0.608
1.793,1.562,0.608
1.894,1.592,0.593
1.995,1.644,0.594
2.109,1.713,0.605
2.219,1.765,0.595
2.329,1.813,0.561
2.439,1.813,0.561
2.545,1.852,0.527
2.645,1.886,0.504
2.754,1.927,0.510
2.854,1.999,0.529
2.960,2.053,0.532
3.072,2.053,0.532
3.184,2.105,0.504
3.284,2.154,0.472
3.389,2.192,0.451
3.499,2.223,0.452
3.609,2.294,0.468
3.719,2.355,0.484
3.819,2.355,0.484
3.924,2.405,0.473
4.024,2.460,0.446
4.125,2.502,0.422
4.225,2.502,0.422
4.333,2.537,0.422
4.435,2.592,0.442
4.539,2.654,0.469
4.651,2.702,0.470
4.762,2.758,0.450
4.862,2.809,0.427
4.967,2.809,0.427
5.077,2.849,0.419
5.187,2.893,0.436
5.297,2.961,0.472
5.408,3.011,0.491
5.518,3.066,0.481
5.618,3.066,0.481
5.718,3.117,0.463
5.832,3.110,0.485
5.942,3.162,0.468
6.049,3.202,0.452
6.161,3.233,0.464
6.271,3.286,0.504
6.371,3.286,0.504
6.472,3.343,0.537
6.585,3.404,0.539
6.696,3.461,0.525
6.798,3.505,0.509
6.899,3.538,0.518
6.999,3.538,0.518
7.105,3.584,0.555
7.215,3.639,0.598
7.325,3.694,0.611
7.425,3.754,0.604
7.526,3.754,0.604
7.626,3.803,0.595
7.735,3.839,0.598
7.845,3.874,0.628
7.955,3.922,0.678
8.056,3.973,0.709
8.160,3.973,0.709
8.270,4.038,0.715
8.370,4.091,0.712
8.471,4.133,0.703
8.571,4.165,0.723
8.679,4.214,0.778
8.784,4.214,0.778
8.899,4.261,0.819
9.000,4.322,0.832
9.101,4.379,0.837
9.201,4.426,0.835
9.309,4.426,0.835
9.419,4.456,0.849
9.521,4.497,0.900
9.622,4.538,0.954
9.733,4.591,0.978
9.843,4.651,0.987
9.953,4.651,0.987
10.054,4.702,0.991
10.154,4.734,1.002
10.268,4.767,1.042
10.378,4.805,1.107
10.479,4.848,1.142
10.579,4.848,1.142
10.680,4.906,1.158
10.787,4.959,1.171
10.888,4.997,1.183
10.988,5.020,1.221
11.089,5.020,1.221
11.189,5.046,1.291
11.290,5.075,1.340
11.390,5.124,1.370
11.491,5.173,1.394
11.591,5.173,1.394
11.692,5.216,1.409
11.793,5.239,1.437
11.906,5.261,1.500
12.007,5.282,1.563
12.111,5.282,1.563
12.221,5.319,1.603
12.322,5.364,1.633
12.426,5.411,1.655
12.534,5.437,1.678
12.646,5.450,1.736
12.756,5.455,1.808
12.857,5.455,1.808
12.958,5.476,1.854
