time_s,x,y
0.000,0.000,0.000
0.109,1.013,1.270
0.211,1.036,1.271
0.315,1.058,1.275
0.416,1.078,1.280
0.520,1.095,1.286
0.621,1.095,1.286
0.724,1.112,1.294
0.835,1.128,1.302
0.935,1.150,1.310
1.040,1.175,1.321
1.149,1.202,1.327
1.259,1.202,1.327
1.359,1.227,1.328
1.463,1.249,1.327
1.564,1.269,1.323
1.665,1.286,1.314
1.767,1.286,1.314
1.873,1.302,1.307
1.983,1.324,1.303
2.094,1.349,1.298
2.204,1.373,1.299
2.314,1.396,1.302
2.424,1.415,1.307
2.525,1.415,1.307
2.629,1.433,1.313
2.730,1.451,1.322
2.830,1.467,1.330
2.944,1.490,1.337
3.054,1.490,1.337
3.165,1.516,1.344
3.275,1.543,1.346
3.385,1.567,1.345
3.496,1.588,1.340
3.596,1.607,1.333
3.697,1.624,1.325
3.798,1.624,1.325
3.898,1.640,1.320
3.999,1.662,1.314
4.099,1.686,1.308
4.213,1.711,1.308
4.315,1.711,1.308
4.416,1.733,1.311
4.517,1.751,1.316
4.617,1.771,1.325
4.718,1.788,1.334
4.832,1.788,1.334
4.933,1.808,1.338
5.033,1.834,1.346
5.134,1.861,1.352
5.246,1.886,1.353
5.347,1.910,1.349
5.448,1.910,1.349
5.548,1.929,1.342
5.663,1.949,1.332
5.763,1.965,1.324
5.864,1.984,1.319
5.964,1.984,1.319
6.064,2.006,1.308
6.164,2.029,1.304
6.265,2.055,1.304
6.376,2.076,1.307
6.476,2.076,1.307
6.577,2.094,1.312
6.690,2.115,1.320
6.801,2.132,1.324
6.913,2.154,1.329
7.025,2.179,1.335
7.126,2.206,1.337
7.231,2.206,1.337
7.343,2.230,1.335
7.455,2.253,1.330
7.565,2.271,1.321
7.675,2.290,1.311
7.786,2.305,1.301
7.887,2.323,1.292
7.991,2.323,1.292
8.101,2.346,1.284
8.202,2.370,1.280
8.309,2.392,1.280
8.409,2.414,1.281
8.514,2.414,1.281
8.615,2.433,1.286
8.715,2.453,1.292
8.815,2.472,1.297
8.916,2.496,1.302
9.018,2.496,1.302
9.118,2.521,1.305
9.226,2.547,1.304
9.336,2.571,1.299
9.443,2.591,1.292
9.545,2.591,1.292
9.646,2.608,1.281
9.750,2.626,1.270
9.850,2.642,1.260
9.960,2.661,1.250
10.061,2.683,1.242
10.163,2.683,1.242
