time_s,x,y
0.000,0.000,0.000
0.110,1.027,1.278
0.220,1.057,1.277
0.323,1.082,1.283
0.424,1.100,1.296
0.525,1.100,1.296
0.625,1.114,1.319
0.726,1.118,1.349
0.836,1.111,1.378
0.946,1.094,1.407
1.048,1.077,1.432
1.156,1.077,1.432
1.270,1.061,1.455
1.380,1.052,1.475
1.481,1.053,1.497
1.581,1.058,1.519
1.681,1.068,1.545
1.788,1.068,1.545
1.889,1.080,1.570
2.003,1.103,1.593
2.105,1.134,1.607
2.206,1.160,1.622
2.306,1.175,1.642
2.407,1.175,1.642
2.508,1.182,1.667
2.622,1.179,1.696
2.722,1.169,1.721
2.824,1.154,1.739
