time_s,x,y
0.000,0.040,1.289
0.112,1.032,0.837
0.224,1.062,0.875
0.336,1.084,0.917
0.448,1.096,0.952
0.548,1.106,0.979
0.649,1.106,0.979
0.749,1.124,1.002
0.850,1.172,1.022
0.950,1.223,1.029
1.060,1.270,1.018
1.161,1.309,0.986
1.263,1.309,0.986
1.364,1.339,0.947
1.464,1.359,0.915
1.565,1.379,0.889
1.665,1.379,0.889
1.766,1.408,0.876
1.866,1.462,0.871
1.976,1.511,0.878
2.086,1.548,0.902
2.196,1.573,0.945
2.306,1.573,0.945
2.416,1.589,0.989
2.517,1.597,1.023
2.621,1.607,1.051
2.730,1.633,1.074
2.840,1.681,1.095
2.950,1.729,1.102
3.061,1.729,1.102
3.171,1.776,1.090
3.281,1.816,1.057
3.390,1.844,1.023
3.490,1.867,0.997
3.591,1.893,0.979
3.705,1.931,0.974
3.805,1.931,0.974
3.906,1.982,0.979
4.020,2.027,0.998
4.121,2.059,1.036
4.223,2.075,1.085
4.335,2.078,1.125
4.445,2.078,1.125
4.545,2.081,1.158
4.646,2.090,1.185
4.748,2.118,1.212
4.848,2.118,1.212
4.949,2.163,1.239
5.049,2.209,1.249
5.150,2.259,1.238
5.251,2.302,1.211
5.358,2.331,1.184
5.468,2.331,1.184
5.576,2.361,1.163
5.688,2.394,1.152
5.798,2.439,1.157
5.899,2.485,1.173
6.003,2.525,1.205
6.113,2.525,1.205
6.223,2.548,1.248
6.333,2.553,1.297
6.434,2.549,1.336
6.536,2.550,1.368
6.637,2.550,1.368
6.743,2.564,1.396
6.854,2.593,1.428
6.967,2.633,1.455
7.079,2.683,1.468
7.191,2.739,1.458
7.303,2.783,1.434
7.415,2.811,1.413
7.526,2.841,1.399
7.638,2.841,1.399
7.750,2.877,1.397
7.862,2.923,1.410
7.973,2.965,1.436
8.085,2.999,1.476
8.191,3.010,1.528
8.305,3.000,1.574
8.415,3.000,1.574
8.523,2.992,1.607
8.635,2.993,1.637
8.741,3.001,1.667
8.842,3.028,1.706
8.950,3.068,1.736
9.061,3.119,1.750
9.173,3.115,1.738
9.285,3.115,1.738
9.397,3.159,1.753
9.498,3.208,1.746
9.600,3.256,1.727
9.700,3.287,1.711
9.800,3.287,1.711
9.901,3.314,1.704
10.002,3.351,1.709
10.102,3.403,1.732
10.203,3.403,1.732
10.311,3.436,1.766
10.411,3.448,1.814
10.515,3.443,1.868
10.626,3.434,1.906
10.736,3.428,1.919
10.837,3.432,1.915
10.941,3.432,1.915
11.041,3.457,1.914
11.141,3.498,1.923
11.242,3.532,1.933
11.343,3.532,1.933
11.443,3.569,1.933
11.544,3.620,1.912
11.650,3.662,1.889
11.750,3.690,1.874
11.854,3.690,1.874
11.964,3.716,1.875
12.074,3.760,1.893
12.174,3.801,1.920
12.279,3.828,1.920
12.390,3.844,1.913
12.500,3.852,1.909
12.600,3.852,1.909
12.701,3.860,1.909
12.801,3.875,1.910
12.909,3.902,1.910
13.010,3.945,1.912
13.114,3.945,1.912
13.214,3.999,1.910
13.315,4.041,1.897
13.416,4.078,1.854
13.516,4.108,1.799
13.617,4.108,1.799
13.717,4.120,1.759
13.818,4.130,1.729
13.918,4.148,1.702
14.019,4.148,1.702
14.123,4.196,1.675
14.224,4.248,1.662
14.324,4.293,1.672
14.426,4.331,1.701
14.527,4.361,1.736
14.627,4.361,1.736
14.728,4.380,1.767
14.832,4.397,1.795
14.942,4.426,1.811
15.052,4.478,1.816
15.162,4.478,1.816
15.273,4.528,1.811
15.383,4.574,1.792
15.493,4.607,1.756
15.597,4.628,1.713
15.697,4.642,1.677
15.807,4.660,1.653
15.917,4.660,1.653
16.019,4.688,1.634
16.119,4.739,1.618
16.220,4.787,1.620
16.320,4.787,1.620
16.421,4.829,1.643
16.522,4.860,1.679
16.622,4.879,1.715
16.723,4.890,1.748
16.823,4.890,1.748
16.924,4.908,1.777
17.036,4.939,1.794
17.145,4.989,1.805
17.255,5.038,1.805
17.356,5.084,1.786
17.460,5.120,1.745
17.570,5.120,1.745
17.680,5.141,1.703
17.790,5.158,1.672
17.902,5.179,1.651
18.003,5.215,1.636
18.106,5.215,1.636
18.216,5.266,1.629
18.326,5.314,1.640
18.436,5.354,1.671
18.547,5.378,1.711
18.656,5.385,1.747
18.767,5.397,1.779
18.877,5.421,1.804
18.987,5.421,1.804
19.098,5.456,1.821
