time_s,x,y
0.000,-0.035,1.494
0.110,1.002,1.073
0.220,1.013,1.074
0.330,1.023,1.075
0.440,1.033,1.078
0.549,1.041,1.077
0.660,1.050,1.077
0.768,1.050,1.077
0.869,1.059,1.078
0.970,1.068,1.081
1.070,1.079,1.083
1.171,1.087,1.089
1.274,1.098,1.099
1.375,1.098,1.099
1.479,1.108,1.105
1.579,1.115,1.107
1.684,1.123,1.107
1.784,1.123,1.107
1.884,1.135,1.107
1.998,1.149,1.106
2.099,1.160,1.105
2.199,1.170,1.107
2.312,1.181,1.110
2.422,1.192,1.114
2.532,1.192,1.114
2.633,1.202,1.114
2.733,1.211,1.114
2.847,1.220,1.116
2.947,1.231,1.121
3.048,1.231,1.121
3.149,1.242,1.126
3.249,1.252,1.136
3.351,1.263,1.145
3.461,1.273,1.151
3.562,1.273,1.151
3.663,1.282,1.155
3.763,1.291,1.156
3.864,1.306,1.155
3.977,1.320,1.155
4.078,1.320,1.155
4.182,1.333,1.158
4.292,1.344,1.160
4.392,1.357,1.162
4.493,1.368,1.162
4.600,1.368,1.162
4.712,1.379,1.161
4.813,1.389,1.161
4.928,1.400,1.167
5.042,1.412,1.172
5.143,1.422,1.179
5.243,1.432,1.190
5.351,1.432,1.190
5.461,1.442,1.198
5.572,1.451,1.204
5.683,1.462,1.208
5.783,1.473,1.208
5.887,1.488,1.208
5.997,1.501,1.209
6.108,1.501,1.209
6.208,1.512,1.210
6.312,1.525,1.214
6.422,1.536,1.219
6.523,1.548,1.220
6.624,1.548,1.220
6.738,1.559,1.219
6.845,1.570,1.221
6.946,1.580,1.227
7.058,1.593,1.232
7.159,1.603,1.240
7.260,1.603,1.240
7.361,1.613,1.251
7.461,1.622,1.260
7.562,1.631,1.266
7.663,1.642,1.270
7.763,1.642,1.270
7.864,1.655,1.271
7.965,1.669,1.271
8.065,1.683,1.274
8.179,1.697,1.275
8.279,1.697,1.275
8.380,1.710,1.279
8.480,1.722,1.282
8.580,1.734,1.282
8.680,1.744,1.283
8.786,1.744,1.283
8.886,1.755,1.289
8.987,1.766,1.296
9.095,1.778,1.300
9.199,1.788,1.311
9.300,1.788,1.311
9.400,1.797,1.322
9.501,1.806,1.329
9.612,1.816,1.333
9.713,1.828,1.337
9.814,1.842,1.337
9.915,1.842,1.337
10.015,1.855,1.339
10.116,1.868,1.343
10.216,1.882,1.349
10.317,1.882,1.349
10.417,1.895,1.354
10.518,1.907,1.358
10.620,1.918,1.359
10.720,1.930,1.361
10.829,1.930,1.361
10.929,1.942,1.368
11.030,1.955,1.374
11.130,1.966,1.379
11.231,1.975,1.390
11.332,1.975,1.390
11.432,1.985,1.399
11.532,1.994,1.407
11.639,2.005,1.411
11.755,2.018,1.414
11.863,2.033,1.414
11.974,2.033,1.414
12.084,2.047,1.418
12.186,2.060,1.422
12.286,2.074,1.429
12.396,2.087,1.435
12.496,2.098,1.438
12.606,2.098,1.438
12.715,2.109,1.440
12.815,2.119,1.442
12.917,2.131,1.450
13.027,2.144,1.457
13.127,2.144,1.457
13.228,2.153,1.465
13.329,2.160,1.477
13.445,2.166,1.487
13.545,2.175,1.496
13.645,2.175,1.496
13.746,2.186,1.502
13.847,2.199,1.506
13.951,2.214,1.508
14.061,2.228,1.514
14.171,2.242,1.520
14.271,2.242,1.520
14.375,2.255,1.527
14.475,2.266,1.533
14.577,2.278,1.535
14.687,2.288,1.538
14.787,2.288,1.538
14.895,2.299,1.544
15.009,2.310,1.553
15.119,2.322,1.560
15.221,2.328,1.572
15.330,2.336,1.583
15.446,2.343,1.591
15.558,2.352,1.599
15.667,2.352,1.599
15.768,2.364,1.607
15.878,2.377,1.610
15.978,2.392,1.615
16.078,2.404,1.623
16.179,2.404,1.623
16.294,2.414,1.631
16.395,2.425,1.639
16.495,2.436,1.645
16.596,2.445,1.650
16.706,2.455,1.655
16.816,2.455,1.655
16.916,2.465,1.663
17.026,2.474,1.675
17.126,2.485,1.683
17.236,2.492,1.696
17.346,2.497,1.710
17.447,2.497,1.710
17.558,2.504,1.720
17.659,2.513,1.731
17.769,2.524,1.738
17.870,2.537,1.744
17.978,2.550,1.750
18.090,2.550,1.750
18.192,2.563,1.757
18.296,2.576,1.766
18.411,2.588,1.772
18.521,2.599,1.778
18.622,2.610,1.782
18.722,2.610,1.782
18.826,2.620,1.788
18.926,2.631,1.798
19.028,2.642,1.809
19.128,2.652,1.821
19.228,2.652,1.821
19.328,2.655,1.834
19.429,2.658,1.846
19.538,2.667,1.855
19.642,2.678,1.864
19.743,2.678,1.864
19.843,2.689,1.871
19.944,2.701,1.878
20.047,2.714,1.886
20.147,2.727,1.897
20.262,2.738,1.908
20.362,2.738,1.908
20.466,2.744,1.915
20.566,2.753,1.923
20.667,2.764,1.929
20.768,2.777,1.925
20.869,2.777,1.925
20.970,2.785,1.917
21.070,2.792,1.915
21.170,2.798,1.916
21.270,2.798,1.916
21.371,2.800,1.912
21.471,2.800,1.910
21.571,2.806,1.907
21.672,2.820,1.902
21.776,2.820,1.902
21.879,2.837,1.893
21.980,2.852,1.883
22.080,2.862,1.878
22.194,2.877,1.873
22.295,2.877,1.873
22.395,2.893,1.871
22.506,2.905,1.865
22.607,2.914,1.857
22.707,2.924,1.855
22.808,2.924,1.855
22.908,2.935,1.857
23.010,2.946,1.859
23.117,2.958,1.861
23.227,2.963,1.867
23.337,2.989,1.862
23.445,2.980,1.871
23.555,2.980,1.871
23.665,2.990,1.874
23.776,3.021,1.873
23.877,3.017,1.870
23.980,3.029,1.866
24.093,3.045,1.867
24.194,3.045,1.867
24.303,3.057,1.869
24.406,3.070,1.871
24.512,3.079,1.874
24.619,3.091,1.874
24.732,3.100,1.872
24.833,3.100,1.872
24.942,3.113,1.879
25.046,3.141,1.875
25.146,3.151,1.881
25.249,3.160,1.888
25.349,3.160,1.888
25.458,3.171,1.894
25.562,3.184,1.902
25.672,3.196,1.910
25.783,3.207,1.915
25.896,3.215,1.920
26.008,3.228,1.920
26.112,3.228,1.920
26.221,3.245,1.919
26.334,3.261,1.920
26.443,3.272,1.925
26.553,3.282,1.934
26.654,3.293,1.939
26.770,3.306,1.943
26.871,3.306,1.943
26.973,3.318,1.943
27.073,3.329,1.937
27.178,3.340,1.930
27.288,3.348,1.929
27.395,3.348,1.929
27.496,3.355,1.929
27.601,3.364,1.928
27.701,3.374,1.927
27.814,3.384,1.923
27.914,3.394,1.917
28.015,3.394,1.917
28.115,3.406,1.908
28.215,3.424,1.896
28.330,3.440,1.887
28.431,3.452,1.880
28.531,3.452,1.880
28.646,3.463,1.877
28.747,3.476,1.873
28.847,3.489,1.865
28.948,3.501,1.859
29.048,3.501,1.859
29.149,3.513,1.858
29.249,3.522,1.862
29.349,3.535,1.863
29.450,3.548,1.866
29.551,3.548,1.866
29.651,3.561,1.870
29.764,3.573,1.870
29.864,3.581,1.871
29.978,3.593,1.869
30.078,3.609,1.862
30.179,3.609,1.862
30.280,3.624,1.857
30.381,3.635,1.857
30.483,3.646,1.859
30.586,3.661,1.860
30.695,3.661,1.860
30.796,3.674,1.860
30.897,3.686,1.860
31.009,3.697,1.861
31.109,3.709,1.866
31.210,3.709,1.866
31.324,3.721,1.868
31.428,3.733,1.872
31.528,3.744,1.881
31.629,3.758,1.889
31.729,3.758,1.889
31.830,3.769,1.891
31.930,3.779,1.897
32.040,3.790,1.897
32.142,3.806,1.893
32.244,3.821,1.891
32.344,3.821,1.891
32.446,3.834,1.894
32.546,3.845,1.899
32.651,3.858,1.905
32.760,3.869,1.908
32.861,3.869,1.908
32.962,3.881,1.909
33.074,3.892,1.911
33.175,3.903,1.915
33.276,3.915,1.921
33.377,3.915,1.921
33.481,3.928,1.925
33.582,3.940,1.926
33.682,3.951,1.927
33.783,3.962,1.925
33.885,3.962,1.925
33.985,3.974,1.923
34.093,3.986,1.919
34.200,4.002,1.912
34.302,4.016,1.908
34.407,4.016,1.908
34.508,4.028,1.908
34.608,4.040,1.911
34.709,4.051,1.917
34.810,4.060,1.920
34.914,4.070,1.925
35.014,4.070,1.925
35.129,4.082,1.929
35.241,4.093,1.935
35.341,4.105,1.933
35.443,4.113,1.936
35.552,4.122,1.937
35.662,4.122,1.937
35.772,4.130,1.937
35.879,4.139,1.936
35.980,4.148,1.930
36.081,4.161,1.921
36.181,4.161,1.921
36.281,4.176,1.913
36.382,4.188,1.906
36.496,4.201,1.894
36.597,4.214,1.885
36.698,4.227,1.879
36.798,4.227,1.879
36.898,4.237,1.873
36.998,4.248,1.869
37.100,4.260,1.870
37.201,4.260,1.870
37.301,4.273,1.871
37.401,4.285,1.872
37.502,4.296,1.877
37.610,4.309,1.880
37.719,4.321,1.880
37.826,4.321,1.880
37.931,4.330,1.882
38.042,4.343,1.879
38.152,4.357,1.872
38.253,4.372,1.865
38.353,4.383,1.866
38.453,4.383,1.866
38.553,4.396,1.868
38.654,4.408,1.872
38.755,4.420,1.872
38.855,4.420,1.872
38.959,4.432,1.874
39.069,4.442,1.877
39.178,4.454,1.882
39.288,4.467,1.885
39.390,4.479,1.888
39.491,4.479,1.888
39.592,4.491,1.895
39.692,4.502,1.903
39.796,4.513,1.908
39.897,4.513,1.908
40.003,4.524,1.912
40.104,4.537,1.912
40.205,4.552,1.910
40.309,4.564,1.909
40.415,4.578,1.910
40.515,4.578,1.910
40.619,4.592,1.912
40.722,4.604,1.915
