time_s,x,y
0.000,0.045,1.287
0.101,1.014,1.074
0.205,1.070,1.036
0.315,1.116,1.010
0.416,1.169,1.002
0.519,1.243,1.015
0.620,1.243,1.015
0.720,1.307,1.020
0.821,1.363,0.999
0.929,1.418,0.950
1.039,1.462,0.904
1.141,1.462,0.904
1.243,1.513,0.882
1.353,1.589,0.879
1.463,1.663,0.888
1.573,1.722,0.874
1.682,1.776,0.829
1.784,1.776,0.829
1.887,1.819,0.766
1.998,1.861,0.725
2.108,1.925,0.698
2.209,2.006,0.689
2.313,2.069,0.674
2.423,2.121,0.636
2.534,2.121,0.636
2.635,2.159,0.567
2.738,2.200,0.516
2.838,2.256,0.483
2.939,2.338,0.465
3.053,2.403,0.443
3.164,2.403,0.443
3.276,2.449,0.400
3.388,2.483,0.323
3.500,2.507,0.265
3.611,2.547,0.221
3.723,2.628,0.178
3.824,2.701,0.152
3.925,2.701,0.152
4.038,2.741,0.119
4.148,2.785,0.077
4.258,2.809,0.069
4.368,2.834,0.067
4.468,2.907,0.069
4.573,2.907,0.069
4.673,2.976,0.097
4.777,3.020,0.094
4.887,3.075,0.072
4.997,3.114,0.058
5.107,3.106,0.078
5.207,3.106,0.078
5.308,3.147,0.065
5.408,3.185,0.057
5.509,3.185,0.057
5.610,3.185,0.057
5.710,3.185,0.057
5.811,3.362,0.094
5.911,3.424,0.084
6.022,3.477,0.062
6.131,3.517,0.047
6.241,3.557,0.040
6.351,3.557,0.040
6.462,3.620,0.060
6.572,3.693,0.097
6.684,3.757,0.105
6.794,3.816,0.067
6.894,3.870,0.049
6.995,3.870,0.049
7.096,3.917,0.042
7.204,3.982,0.049
7.311,4.050,0.076
7.412,4.114,0.091
7.513,4.114,0.091
7.614,4.174,0.068
7.724,4.233,0.055
7.834,4.286,0.049
7.945,4.342,0.053
8.057,4.409,0.078
8.168,4.470,0.090
8.280,4.470,0.090
8.393,4.525,0.065
8.504,4.583,0.055
8.616,4.627,0.046
8.729,4.678,0.053
8.841,4.746,0.085
8.953,4.805,0.109
9.065,4.861,0.095
9.176,4.920,0.062
9.285,4.920,0.062
9.386,4.975,0.047
9.486,5.023,0.042
9.600,5.091,0.059
9.710,5.153,0.091
9.820,5.208,0.090
9.930,5.208,0.090
10.032,5.263,0.062
10.133,5.317,0.051
10.233,5.362,0.042
10.334,5.423,0.052
10.434,5.423,0.052
10.535,5.489,0.087
