time_s,x,y
0.000,0.015,1.284
0.100,1.024,1.121
0.205,1.069,1.142
0.313,1.128,1.145
0.425,1.198,1.127
0.535,1.256,1.125
0.644,1.256,1.125
0.755,1.307,1.149
0.865,1.352,1.205
0.975,1.397,1.250
1.075,1.446,1.274
1.176,1.518,1.279
1.276,1.518,1.279
1.384,1.589,1.272
1.485,1.646,1.288
1.589,1.695,1.343
1.699,1.730,1.403
1.809,1.774,1.437
1.919,1.774,1.437
2.019,1.841,1.459
2.124,1.913,1.469
2.235,1.965,1.497
2.345,2.010,1.553
2.455,2.036,1.624
2.565,2.068,1.669
2.676,2.068,1.669
2.777,2.124,1.707
2.877,2.203,1.730
2.978,2.262,1.750
3.078,2.304,1.794
3.181,2.304,1.794
3.291,2.335,1.872
3.401,2.361,1.921
3.501,2.400,1.933
3.602,2.463,1.941
3.703,2.511,1.933
3.803,2.511,1.933
3.904,2.550,1.925
4.016,2.598,1.929
4.126,2.630,1.933
4.236,2.663,1.928
4.337,2.663,1.928
4.442,2.729,1.912
4.542,2.787,1.893
4.643,2.835,1.905
4.757,2.898,1.915
4.868,2.945,1.925
4.978,2.945,1.925
5.088,2.975,1.925
5.198,3.028,1.914
5.299,3.093,1.885
5.399,3.075,1.917
5.513,3.135,1.888
5.623,3.185,1.876
5.723,3.185,1.876
5.823,3.234,1.897
5.924,3.289,1.933
6.024,3.353,1.935
6.125,3.353,1.935
6.239,3.413,1.925
6.340,3.478,1.905
6.440,3.528,1.896
6.541,3.578,1.919
6.650,3.642,1.945
6.760,3.642,1.945
6.861,3.701,1.950
6.962,3.748,1.948
7.072,3.806,1.933
7.182,3.866,1.905
7.291,3.923,1.903
7.392,3.923,1.903
7.506,3.979,1.932
7.621,4.039,1.948
7.730,4.086,1.962
7.840,4.143,1.961
7.950,4.209,1.940
8.060,4.269,1.925
8.161,4.269,1.925
8.262,4.329,1.939
8.362,4.386,1.947
8.463,4.434,1.955
8.563,4.485,1.949
8.675,4.551,1.913
8.776,4.551,1.913
8.877,4.607,1.897
8.990,4.664,1.915
9.101,4.727,1.937
9.213,4.781,1.948
9.325,4.828,1.950
9.436,4.894,1.940
9.548,4.894,1.940
9.659,4.955,1.919
9.770,5.006,1.914
9.871,5.067,1.941
9.971,5.117,1.946
10.073,5.117,1.946
10.174,5.159,1.951
10.289,5.221,1.937
10.390,5.281,1.902
10.492,5.331,1.896
10.592,5.395,1.926
10.693,5.395,1.926
10.793,5.457,1.944
