time_s,x,y
0.000,-0.059,1.278
0.100,1.013,1.130
0.201,1.038,1.125
0.302,1.061,1.123
0.402,1.081,1.123
0.509,1.098,1.125
0.618,1.098,1.125
0.730,1.113,1.131
0.840,1.127,1.138
0.950,1.143,1.143
1.051,1.165,1.152
1.152,1.189,1.160
1.253,1.189,1.160
1.353,1.214,1.163
1.454,1.240,1.162
1.564,1.264,1.158
1.665,1.287,1.150
1.769,1.287,1.150
1.874,1.306,1.140
1.976,1.324,1.133
2.076,1.349,1.127
2.176,1.373,1.121
2.276,1.373,1.121
2.382,1.397,1.121
2.483,1.417,1.123
2.589,1.433,1.126
2.690,1.451,1.133
2.790,1.451,1.133
2.891,1.466,1.140
2.991,1.483,1.144
3.091,1.507,1.152
3.192,1.533,1.158
3.300,1.533,1.158
3.401,1.559,1.159
3.501,1.583,1.156
3.606,1.606,1.147
3.706,1.628,1.135
3.806,1.628,1.135
3.907,1.646,1.125
4.021,1.664,1.118
4.122,1.688,1.110
4.223,1.712,1.103
4.323,1.734,1.103
4.434,1.734,1.103
4.536,1.754,1.103
4.637,1.770,1.107
4.738,1.787,1.113
4.838,1.787,1.113
4.939,1.802,1.119
5.039,1.822,1.124
5.139,1.847,1.130
5.239,1.872,1.130
5.339,1.872,1.130
5.452,1.899,1.127
5.563,1.923,1.122
5.671,1.944,1.111
5.787,1.964,1.098
5.888,1.982,1.087
5.989,2.002,1.077
6.090,2.002,1.077
6.191,2.024,1.067
6.293,2.047,1.061
6.395,2.070,1.059
6.505,2.089,1.059
6.605,2.089,1.059
6.706,2.106,1.062
6.806,2.123,1.066
6.907,2.140,1.071
7.007,2.161,1.075
7.107,2.161,1.075
7.208,2.187,1.078
7.322,2.213,1.075
7.423,2.239,1.069
7.524,2.261,1.059
7.624,2.261,1.059
7.724,2.280,1.046
7.825,2.298,1.031
7.938,2.316,1.021
8.039,2.336,1.009
8.139,2.336,1.009
8.239,2.358,0.998
8.339,2.381,0.991
8.440,2.402,0.986
8.540,2.402,0.986
8.649,2.420,0.987
8.749,2.439,0.989
