time_s,x,y
0.000,0.000,0.000
0.106,1.009,0.850
0.221,1.028,0.833
0.331,1.051,0.815
0.441,1.051,0.815
0.551,1.119,0.810
0.661,1.161,0.822
0.769,1.161,0.822
0.872,1.193,0.829
0.972,1.221,0.825
1.072,1.247,0.813
1.179,1.272,0.795
1.289,1.296,0.774
1.399,1.296,0.774
1.509,1.318,0.750
1.619,1.335,0.726
1.729,1.351,0.700
1.839,1.366,0.675
1.949,1.380,0.653
2.059,1.380,0.653
2.169,1.399,0.634
2.273,1.420,0.619
2.373,1.447,0.605
2.473,1.483,0.601
2.573,1.526,0.610
2.687,1.526,0.610
2.797,1.562,0.617
2.907,1.591,0.614
3.016,1.620,0.603
3.126,1.649,0.589
3.236,1.675,0.574
3.346,1.696,0.552
3.456,1.712,0.517
3.565,1.712,0.517
3.673,1.723,0.484
3.773,1.734,0.452
3.873,1.746,0.424
3.989,1.762,0.399
4.099,1.780,0.380
4.208,1.780,0.380
4.319,1.803,0.364
4.429,1.831,0.349
4.539,1.868,0.344
4.649,1.907,0.348
4.759,1.942,0.350
4.868,1.942,0.350
4.974,1.973,0.343
5.074,2.002,0.327
5.174,2.030,0.308
5.274,2.055,0.289
5.374,2.071,0.261
5.474,2.071,0.261
5.574,2.084,0.227
5.674,2.090,0.193
5.775,2.097,0.162
5.875,2.097,0.162
5.975,2.107,0.134
6.075,2.122,0.110
6.175,2.141,0.089
6.281,2.163,0.068
6.391,2.192,0.052
6.501,2.192,0.052
6.610,2.233,0.047
6.720,2.269,0.052
6.831,2.300,0.050
6.941,2.332,0.049
7.051,2.363,0.056
7.161,2.393,0.063
7.271,2.393,0.063
7.375,2.417,0.066
7.476,2.434,0.071
7.576,2.452,0.071
7.676,2.470,0.071
7.776,2.470,0.071
7.876,2.489,0.070
7.976,2.509,0.073
8.076,2.529,0.076
8.176,2.559,0.082
8.276,2.559,0.082
8.376,2.591,0.088
8.477,2.626,0.103
8.577,2.658,0.133
8.677,2.658,0.133
8.777,2.682,0.162
8.877,2.713,0.172
8.977,2.746,0.176
9.077,2.778,0.179
9.177,2.778,0.179
9.278,2.806,0.180
9.378,2.834,0.174
9.485,2.862,0.157
9.595,2.881,0.130
9.705,2.881,0.130
9.815,2.897,0.103
9.925,2.917,0.081
10.035,2.942,0.059
10.145,2.965,0.040
10.255,2.994,0.030
10.364,2.994,0.030
10.474,2.994,0.030
10.578,2.994,0.030
10.678,2.994,0.030
10.788,2.994,0.030
10.898,2.994,0.030
11.008,2.994,0.030
11.118,2.994,0.030
11.228,2.994,0.030
11.337,3.256,0.063
11.448,3.285,0.051
11.557,3.316,0.058
11.667,3.346,0.067
11.777,3.366,0.068
11.879,3.383,0.065
11.979,3.383,0.065
12.079,3.401,0.063
12.179,3.424,0.068
12.280,3.452,0.076
12.389,3.479,0.086
12.499,3.479,0.086
12.609,3.508,0.106
12.719,3.544,0.144
12.829,3.575,0.176
12.938,3.596,0.191
13.049,3.622,0.198
13.158,3.655,0.205
13.268,3.655,0.205
13.378,3.688,0.208
13.480,3.715,0.202
13.580,3.742,0.186
13.692,3.772,0.168
13.802,3.802,0.151
13.912,3.826,0.137
14.022,3.826,0.137
14.132,3.853,0.128
14.241,3.880,0.129
14.351,3.908,0.132
14.461,3.908,0.132
14.571,3.966,0.152
14.681,3.998,0.185
14.781,3.998,0.185
14.881,4.028,0.209
14.981,4.053,0.219
15.081,4.081,0.223
15.183,4.081,0.223
15.293,4.112,0.225
15.403,4.142,0.224
15.513,4.171,0.209
15.623,4.198,0.188
15.732,4.225,0.166
15.842,4.250,0.148
15.950,4.275,0.131
16.062,4.275,0.131
16.172,4.300,0.120
16.282,4.326,0.117
16.382,4.326,0.117
16.482,4.326,0.117
16.582,4.326,0.117
16.682,4.418,0.137
16.782,4.449,0.167
16.882,4.477,0.187
16.982,4.505,0.193
17.098,4.505,0.193
17.198,4.536,0.193
17.299,4.568,0.188
17.405,4.599,0.182
17.507,4.626,0.167
17.617,4.653,0.147
17.727,4.678,0.121
17.837,4.678,0.121
17.947,4.700,0.099
18.057,4.722,0.082
18.166,4.745,0.070
18.277,4.772,0.061
18.383,4.772,0.061
18.483,4.772,0.061
18.591,4.772,0.061
18.701,4.871,0.085
18.811,4.902,0.111
18.913,4.929,0.122
19.016,4.962,0.121
19.126,4.962,0.121
19.235,4.994,0.115
