time_s,x,y
0.000,0.000,0.000
0.110,1.012,1.080
0.220,1.038,1.084
0.330,1.068,1.079
0.440,1.101,1.068
0.550,1.129,1.060
0.660,1.155,1.055
0.770,1.176,1.056
0.880,1.176,1.056
0.982,1.199,1.059
1.082,1.222,1.064
1.182,1.242,1.070
1.284,1.242,1.070
1.398,1.262,1.080
1.508,1.282,1.101
1.618,1.305,1.127
1.728,1.326,1.152
1.838,1.346,1.172
1.948,1.370,1.185
2.058,1.401,1.193
2.168,1.430,1.195
2.278,1.430,1.195
2.383,1.462,1.192
2.483,1.494,1.180
2.592,1.528,1.163
2.702,1.557,1.148
2.811,1.557,1.148
2.921,1.583,1.139
3.031,1.607,1.137
3.140,1.632,1.140
3.250,1.656,1.145
3.360,1.680,1.159
3.469,1.704,1.185
3.579,1.726,1.213
3.684,1.726,1.213
3.799,1.746,1.235
3.909,1.770,1.253
4.019,1.799,1.266
4.119,1.830,1.272
4.223,1.863,1.272
4.334,1.896,1.264
4.444,1.896,1.264
4.554,1.932,1.248
4.664,1.963,1.228
4.774,1.992,1.214
4.884,2.019,1.207
4.985,2.046,1.203
5.085,2.046,1.203
5.199,2.071,1.205
5.309,2.096,1.208
5.419,2.122,1.227
5.529,2.146,1.255
5.640,2.167,1.282
5.750,2.191,1.301
5.850,2.191,1.301
5.954,2.220,1.318
6.063,2.247,1.331
6.173,2.278,1.336
6.283,2.311,1.337
6.385,2.347,1.329
6.485,2.347,1.329
6.585,2.381,1.311
6.685,2.411,1.289
6.786,2.440,1.275
6.895,2.467,1.267
7.005,2.467,1.267
7.115,2.493,1.263
7.225,2.518,1.262
7.335,2.543,1.266
7.445,2.570,1.286
7.546,2.592,1.313
7.649,2.613,1.338
7.759,2.613,1.338
7.869,2.638,1.357
7.979,2.668,1.373
8.087,2.702,1.383
8.187,2.733,1.389
8.287,2.733,1.389
8.387,2.764,1.389
8.487,2.802,1.380
8.591,2.835,1.361
8.701,2.862,1.339
8.811,2.888,1.325
8.920,2.917,1.315
9.030,2.917,1.315
9.140,2.944,1.309
9.250,2.970,1.305
9.360,2.997,1.309
9.468,3.024,1.331
9.580,3.043,1.358
9.688,3.064,1.382
9.788,3.064,1.382
9.894,3.123,1.395
10.005,3.143,1.411
10.115,3.171,1.419
10.225,3.207,1.424
10.335,3.241,1.425
10.445,3.241,1.425
10.555,3.274,1.417
10.664,3.307,1.400
10.774,3.340,1.379
10.884,3.369,1.360
10.988,3.392,1.347
11.089,3.392,1.347
11.189,3.416,1.340
11.289,3.438,1.337
11.389,3.462,1.336
11.489,3.493,1.352
11.589,3.493,1.352
11.702,3.529,1.378
11.812,3.556,1.400
11.922,3.579,1.418
12.032,3.605,1.429
12.142,3.638,1.434
12.252,3.672,1.437
12.362,3.672,1.437
12.462,3.705,1.431
12.567,3.739,1.416
12.676,3.771,1.394
12.786,3.800,1.369
12.889,3.826,1.350
12.989,3.826,1.350
13.100,3.848,1.339
13.210,3.869,1.331
13.320,3.894,1.326
13.430,3.921,1.328
13.540,3.956,1.345
13.650,3.989,1.369
13.760,4.016,1.390
13.870,4.016,1.390
13.979,4.016,1.390
14.090,4.074,1.408
14.190,4.108,1.408
14.290,4.141,1.406
14.404,4.176,1.397
14.513,4.176,1.397
14.623,4.207,1.377
14.733,4.237,1.350
14.843,4.263,1.324
14.943,4.286,1.306
15.047,4.307,1.294
15.157,4.307,1.294
15.267,4.331,1.284
15.376,4.356,1.277
15.486,4.385,1.282
15.591,4.421,1.301
15.706,4.452,1.324
15.816,4.479,1.340
15.926,4.479,1.340
16.036,4.508,1.349
16.146,4.541,1.352
16.256,4.576,1.349
16.366,4.609,1.343
16.476,4.641,1.327
16.586,4.671,1.303
16.692,4.696,1.273
16.792,4.696,1.273
16.892,4.720,1.248
16.992,4.742,1.230
17.092,4.764,1.217
17.192,4.764,1.217
17.292,4.788,1.205
17.392,4.814,1.199
17.493,4.847,1.207
17.593,4.880,1.226
17.693,4.880,1.226
17.795,4.908,1.244
17.904,4.937,1.258
18.014,4.970,1.264
