time_s,x,y
0.000,0.088,1.359
0.110,1.005,1.147
0.222,1.017,1.153
0.334,1.029,1.158
0.446,1.041,1.161
0.559,1.053,1.171
0.671,1.065,1.179
0.782,1.075,1.185
0.895,1.075,1.185
1.006,1.085,1.187
1.116,1.099,1.185
1.217,1.116,1.182
1.318,1.130,1.182
1.431,1.141,1.182
1.543,1.141,1.182
1.653,1.153,1.186
1.763,1.165,1.190
1.873,1.176,1.192
1.983,1.187,1.191
2.084,1.198,1.190
2.185,1.210,1.192
2.286,1.210,1.192
2.387,1.223,1.192
2.487,1.234,1.197
2.588,1.247,1.203
2.688,1.260,1.208
2.789,1.260,1.208
2.890,1.270,1.210
2.990,1.281,1.211
3.091,1.295,1.207
3.191,1.295,1.207
3.307,1.309,1.202
3.417,1.322,1.203
3.517,1.333,1.206
3.618,1.344,1.210
3.718,1.357,1.214
3.825,1.357,1.214
3.936,1.368,1.215
4.046,1.380,1.215
4.156,1.391,1.219
4.266,1.406,1.222
4.376,1.419,1.224
4.487,1.431,1.229
4.597,1.443,1.236
4.698,1.443,1.236
4.799,1.457,1.240
4.900,1.467,1.242
5.000,1.479,1.240
5.102,1.479,1.240
5.212,1.493,1.237
5.322,1.507,1.234
5.432,1.520,1.234
5.544,1.530,1.238
5.656,1.543,1.243
5.768,1.554,1.246
5.880,1.565,1.247
5.992,1.565,1.247
6.104,1.577,1.248
6.217,1.591,1.250
6.328,1.604,1.253
6.439,1.618,1.256
6.549,1.631,1.264
6.650,1.631,1.264
6.753,1.644,1.271
6.864,1.656,1.277
6.974,1.667,1.277
7.084,1.682,1.273
7.194,1.696,1.269
7.294,1.711,1.265
7.395,1.711,1.265
7.496,1.724,1.266
7.596,1.737,1.269
7.697,1.751,1.274
7.797,1.762,1.277
7.898,1.762,1.277
7.998,1.774,1.277
8.108,1.784,1.278
8.208,1.798,1.279
8.310,1.811,1.281
8.410,1.811,1.281
8.516,1.825,1.285
8.617,1.838,1.290
8.721,1.851,1.296
8.831,1.862,1.298
8.941,1.874,1.299
9.051,1.874,1.299
9.160,1.887,1.294
9.261,1.903,1.289
9.362,1.916,1.288
9.466,1.929,1.290
9.566,1.942,1.292
9.680,1.942,1.292
9.781,1.956,1.293
9.885,1.967,1.293
9.987,1.979,1.292
10.088,1.991,1.293
10.188,1.991,1.293
10.289,2.005,1.295
10.389,2.020,1.295
10.499,2.032,1.301
10.607,2.043,1.308
10.708,2.043,1.308
10.809,2.054,1.314
10.909,2.066,1.317
11.019,2.080,1.316
11.130,2.095,1.312
11.230,2.095,1.312
11.331,2.109,1.308
11.431,2.123,1.308
11.539,2.137,1.311
11.649,2.152,1.315
11.758,2.164,1.319
11.860,2.164,1.319
11.961,2.175,1.319
12.061,2.187,1.320
12.170,2.198,1.324
12.279,2.213,1.326
12.390,2.227,1.327
12.499,2.227,1.327
12.599,2.240,1.334
12.700,2.250,1.341
12.800,2.261,1.347
12.901,2.273,1.348
13.002,2.289,1.346
13.113,2.289,1.346
13.223,2.303,1.341
13.333,2.316,1.341
13.434,2.329,1.344
13.534,2.344,1.347
13.648,2.357,1.352
13.748,2.357,1.352
13.849,2.369,1.355
13.949,2.382,1.355
14.050,2.394,1.356
14.152,2.408,1.359
14.262,2.408,1.359
14.371,2.422,1.361
14.482,2.436,1.365
14.594,2.449,1.374
14.707,2.460,1.382
14.818,2.470,1.386
14.931,2.482,1.387
15.042,2.497,1.383
15.155,2.497,1.383
15.267,2.512,1.378
15.377,2.525,1.379
15.487,2.539,1.382
15.587,2.553,1.389
15.688,2.565,1.395
15.801,2.565,1.395
15.903,2.577,1.399
16.005,2.588,1.402
16.116,2.599,1.404
16.226,2.613,1.407
16.327,2.630,1.410
16.427,2.630,1.410
16.528,2.643,1.414
16.628,2.652,1.422
16.729,2.661,1.428
16.829,2.671,1.431
16.936,2.671,1.431
17.046,2.686,1.430
17.156,2.700,1.428
17.256,2.711,1.426
17.356,2.725,1.427
17.457,2.725,1.427
17.557,2.739,1.431
17.660,2.755,1.438
17.760,2.766,1.442
17.864,2.777,1.443
17.976,2.789,1.444
18.087,2.789,1.444
18.199,2.801,1.449
18.312,2.815,1.452
18.424,2.830,1.455
18.536,2.841,1.462
18.648,2.850,1.470
18.759,2.859,1.476
18.872,2.870,1.478
18.984,2.870,1.478
19.096,2.886,1.478
19.208,2.901,1.473
19.318,2.916,1.471
19.428,2.928,1.474
19.528,2.942,1.479
19.629,2.942,1.479
19.729,2.955,1.486
19.837,2.969,1.491
19.949,2.982,1.494
20.061,2.992,1.495
20.171,3.005,1.497
20.281,3.020,1.503
20.387,3.020,1.503
20.501,3.038,1.508
20.611,3.049,1.515
20.721,3.054,1.522
20.831,3.063,1.527
20.941,3.076,1.529
21.051,3.093,1.531
21.161,3.106,1.528
21.271,3.106,1.528
21.381,3.118,1.527
21.491,3.147,1.530
21.597,3.163,1.530
21.711,3.174,1.534
21.821,3.184,1.539
21.923,3.184,1.539
22.025,3.196,1.544
22.125,3.208,1.549
22.230,3.219,1.551
22.331,3.231,1.554
22.431,3.244,1.558
22.545,3.244,1.558
22.656,3.255,1.564
22.756,3.265,1.571
22.860,3.278,1.580
22.960,3.294,1.587
23.061,3.294,1.587
23.161,3.305,1.591
23.269,3.314,1.594
23.379,3.327,1.594
23.489,3.345,1.592
23.599,3.359,1.593
23.709,3.368,1.600
23.819,3.368,1.600
23.920,3.377,1.607
24.021,3.387,1.615
24.121,3.398,1.619
24.222,3.411,1.620
24.322,3.411,1.620
24.425,3.421,1.623
24.529,3.434,1.628
24.641,3.444,1.633
24.753,3.455,1.641
24.865,3.468,1.649
24.977,3.468,1.649
25.078,3.482,1.655
25.179,3.491,1.660
25.279,3.500,1.665
25.380,3.516,1.665
25.482,3.516,1.665
25.592,3.533,1.661
25.703,3.546,1.663
25.813,3.555,1.671
25.923,3.565,1.680
26.033,3.576,1.686
26.143,3.586,1.690
26.244,3.586,1.690
26.348,3.598,1.695
26.449,3.608,1.701
26.553,3.619,1.709
26.663,3.630,1.714
26.772,3.630,1.714
26.882,3.641,1.723
26.992,3.654,1.732
27.102,3.664,1.737
27.203,3.674,1.744
27.307,3.687,1.745
27.408,3.705,1.744
27.508,3.705,1.744
27.609,3.721,1.745
27.717,3.731,1.751
27.827,3.740,1.760
27.928,3.752,1.765
28.032,3.752,1.765
28.134,3.765,1.768
28.235,3.775,1.773
28.346,3.786,1.777
28.446,3.797,1.782
28.550,3.808,1.790
28.650,3.808,1.790
28.754,3.818,1.799
28.854,3.828,1.810
28.955,3.840,1.819
29.055,3.840,1.819
29.164,3.850,1.825
29.273,3.859,1.829
29.374,3.873,1.830
29.477,3.889,1.830
29.587,3.902,1.832
29.688,3.902,1.832
29.788,3.913,1.838
29.889,3.922,1.847
29.989,3.932,1.856
30.090,3.942,1.862
30.190,3.942,1.862
30.291,3.953,1.865
30.391,3.963,1.870
30.492,3.975,1.876
30.593,3.986,1.884
30.707,3.986,1.884
30.816,3.996,1.893
30.927,4.007,1.902
31.027,4.017,1.909
31.127,4.028,1.914
31.228,4.028,1.914
31.328,4.036,1.919
31.429,4.050,1.921
31.529,4.065,1.920
31.635,4.077,1.923
31.745,4.086,1.932
31.846,4.086,1.932
31.951,4.095,1.941
32.061,4.105,1.947
32.161,4.118,1.944
32.263,4.128,1.939
32.364,4.128,1.939
32.464,4.140,1.932
32.565,4.149,1.930
32.666,4.159,1.928
32.766,4.168,1.929
32.867,4.168,1.929
32.967,4.178,1.930
33.069,4.187,1.927
33.179,4.198,1.921
33.281,4.212,1.914
33.383,4.212,1.914
33.493,4.227,1.905
33.593,4.242,1.895
33.694,4.255,1.888
33.795,4.268,1.883
33.902,4.281,1.880
34.012,4.281,1.880
34.122,4.293,1.874
34.223,4.307,1.867
34.324,4.318,1.863
34.438,4.331,1.864
34.548,4.344,1.864
34.658,4.344,1.864
34.760,4.356,1.863
34.862,4.369,1.867
34.963,4.380,1.867
35.067,4.393,1.865
35.177,4.393,1.865
35.287,4.403,1.865
35.397,4.417,1.859
35.507,4.433,1.850
35.617,4.433,1.850
35.717,4.458,1.841
35.821,4.472,1.842
35.931,4.472,1.842
36.041,4.483,1.846
36.142,4.493,1.850
36.243,4.504,1.852
36.343,4.515,1.856
36.444,4.527,1.859
36.546,4.527,1.859
36.656,4.539,1.863
36.756,4.551,1.871
36.860,4.563,1.877
36.961,4.563,1.877
37.065,4.575,1.879
37.165,4.586,1.882
37.266,4.597,1.886
37.366,4.611,1.884
37.467,4.611,1.884
37.567,4.626,1.879
37.668,4.640,1.879
37.768,4.653,1.880
37.869,4.666,1.882
37.969,4.666,1.882
38.074,4.679,1.883
38.183,4.689,1.881
38.284,4.701,1.879
38.385,4.711,1.879
38.499,4.724,1.881
38.608,4.724,1.881
38.719,4.736,1.884
