time_s,x,y
0.000,-0.008,1.343
0.112,1.018,1.220
0.224,1.078,1.232
0.336,1.163,1.224
0.448,1.247,1.226
0.559,1.286,1.253
0.671,1.309,1.309
0.783,1.335,1.394
0.894,1.335,1.394
0.997,1.383,1.445
1.099,1.453,1.468
1.209,1.542,1.493
1.316,1.592,1.527
1.430,1.603,1.573
1.540,1.603,1.573
1.650,1.596,1.661
1.760,1.610,1.739
1.870,1.655,1.783
1.980,1.730,1.844
2.091,1.773,1.901
2.201,1.777,1.926
2.312,1.763,1.941
2.422,1.763,1.941
2.532,1.748,1.938
2.642,1.740,1.921
2.753,1.752,1.935
2.863,1.747,1.952
2.963,1.733,1.951
3.063,1.733,1.951
3.164,1.713,1.929
3.272,1.652,1.936
3.373,1.612,1.935
3.473,1.574,1.935
3.574,1.514,1.962
3.675,1.514,1.962
3.777,1.466,1.914
3.885,1.444,1.848
3.998,1.409,1.767
4.108,1.349,1.715
4.219,1.262,1.721
4.319,1.262,1.721
4.424,1.187,1.739
4.533,1.125,1.737
4.644,1.083,1.709
4.754,1.039,1.642
4.855,1.451,1.365
4.965,1.451,1.365
5.075,1.386,1.334
5.185,1.312,1.332
5.295,1.231,1.316
5.405,1.186,1.284
5.506,1.172,1.237
5.610,1.170,1.162
5.711,1.170,1.162
5.816,1.147,1.086
5.928,1.102,1.039
6.040,1.047,0.981
6.141,1.016,0.921
6.241,1.016,0.921
6.342,1.022,0.877
6.442,1.057,0.823
6.544,1.098,0.749
6.645,1.099,0.687
6.749,1.099,0.687
6.859,1.093,0.608
6.968,1.102,0.530
7.079,1.130,0.502
7.188,1.183,0.488
7.298,1.265,0.472
7.408,1.318,0.434
7.509,1.318,0.434
7.609,1.363,0.379
7.710,1.421,0.333
7.818,1.471,0.322
7.927,1.516,0.343
8.028,1.576,0.388
8.129,1.576,0.388
8.229,1.644,0.420
8.330,1.706,0.414
8.431,1.784,0.410
8.531,1.784,0.410
8.637,1.845,0.432
8.747,1.868,0.466
8.857,1.879,0.524
8.967,1.910,0.601
9.077,1.963,0.641
9.187,2.029,0.681
9.297,2.029,0.681
9.408,2.076,0.737
9.509,2.079,0.780
9.610,2.059,0.832
9.710,2.022,0.911
9.818,2.020,0.977
9.928,2.020,0.977
10.028,2.039,1.045
10.129,2.054,1.122
10.229,2.041,1.166
10.330,2.002,1.192
10.432,2.002,1.192
10.532,1.934,1.223
10.636,1.873,1.272
10.745,1.840,1.333
10.852,1.795,1.398
10.966,1.795,1.398
11.076,1.746,1.431
11.186,1.701,1.432
11.288,1.640,1.411
11.388,1.558,1.393
11.500,1.495,1.408
11.610,1.420,1.427
11.720,1.420,1.427
11.830,1.350,1.427
11.931,1.316,1.405
12.032,1.286,1.354
12.132,1.238,1.281
12.233,1.238,1.281
12.334,1.181,1.245
12.434,1.110,1.216
12.535,1.046,1.172
12.635,1.026,1.128
12.745,1.026,1.128
12.849,1.034,1.070
12.951,1.051,0.989
13.052,1.053,0.922
13.154,1.024,0.857
13.254,1.024,0.857
