time_s,x,y
0.000,-0.018,1.331
0.101,1.025,0.839
0.201,1.049,0.851
0.302,1.072,0.853
0.406,1.097,0.847
0.516,1.123,0.830
0.627,1.123,0.830
0.739,1.143,0.805
0.851,1.153,0.776
0.963,1.156,0.744
1.075,1.158,0.717
1.187,1.162,0.692
1.299,1.170,0.671
1.410,1.184,0.655
1.510,1.184,0.655
1.614,1.207,0.642
1.724,1.232,0.630
1.836,1.259,0.625
1.947,1.294,0.631
2.057,1.326,0.642
2.167,1.326,0.642
2.274,1.352,0.645
2.387,1.375,0.637
2.497,1.398,0.620
2.598,1.419,0.596
2.698,1.430,0.568
2.798,1.431,0.534
2.899,1.431,0.534
2.999,1.428,0.501
3.100,1.422,0.473
3.200,1.419,0.450
3.316,1.423,0.427
3.417,1.423,0.427
3.521,1.432,0.405
3.628,1.452,0.387
3.729,1.473,0.369
3.835,1.503,0.360
3.946,1.541,0.359
4.047,1.541,0.359
4.147,1.572,0.360
4.248,1.596,0.350
4.348,1.618,0.332
4.450,1.636,0.304
4.560,1.636,0.304
4.671,1.648,0.278
4.783,1.649,0.250
4.895,1.643,0.221
5.007,1.635,0.193
5.119,1.624,0.169
5.231,1.617,0.148
5.342,1.617,0.148
5.454,1.617,0.126
5.567,1.626,0.101
5.678,1.642,0.078
5.790,1.663,0.060
5.902,1.693,0.053
6.004,1.726,0.057
6.108,1.726,0.057
6.218,1.750,0.061
6.328,1.769,0.063
6.429,1.789,0.064
6.531,1.807,0.074
6.632,1.814,0.082
6.738,1.814,0.082
6.839,1.817,0.089
6.939,1.821,0.094
7.053,1.829,0.099
7.163,1.839,0.106
7.273,1.849,0.112
7.383,1.849,0.112
7.484,1.865,0.119
7.585,1.886,0.130
7.685,1.909,0.154
7.793,1.928,0.185
7.903,1.940,0.214
8.004,1.940,0.214
8.104,1.949,0.238
8.205,1.959,0.258
8.305,1.970,0.273
8.406,1.985,0.282
8.518,1.985,0.282
8.619,2.006,0.280
8.719,2.031,0.273
8.820,2.053,0.262
8.928,2.073,0.248
9.038,2.073,0.248
9.138,2.091,0.235
9.243,2.109,0.227
9.353,2.130,0.225
9.462,2.154,0.234
9.563,2.175,0.254
9.667,2.175,0.254
9.768,2.188,0.280
9.871,2.196,0.308
9.971,2.201,0.335
10.071,2.204,0.361
10.172,2.204,0.361
10.273,2.211,0.382
10.375,2.221,0.398
10.485,2.235,0.413
10.595,2.259,0.420
10.704,2.285,0.427
10.815,2.285,0.427
10.924,2.313,0.430
11.034,2.341,0.428
11.144,2.368,0.423
11.254,2.392,0.420
11.363,2.392,0.420
11.473,2.439,0.444
11.583,2.439,0.444
11.693,2.451,0.471
11.802,2.452,0.499
11.903,2.451,0.520
12.007,2.451,0.540
12.117,2.446,0.561
12.227,2.439,0.584
12.328,2.439,0.584
12.428,2.439,0.605
12.529,2.451,0.623
12.629,2.472,0.641
12.730,2.496,0.656
12.831,2.496,0.656
12.931,2.523,0.669
13.031,2.550,0.679
13.141,2.573,0.686
13.251,2.595,0.698
13.361,2.595,0.698
13.472,2.615,0.716
13.573,2.621,0.743
13.676,2.616,0.769
13.786,2.600,0.794
13.886,2.583,0.816
13.990,2.583,0.816
14.091,2.565,0.834
14.191,2.549,0.849
14.293,2.537,0.867
14.396,2.537,0.867
14.496,2.533,0.887
14.596,2.536,0.911
14.697,2.547,0.938
14.798,2.561,0.963
14.912,2.580,0.987
15.014,2.580,0.987
15.127,2.601,1.009
15.234,2.619,1.030
15.336,2.631,1.052
15.436,2.633,1.079
15.547,2.620,1.105
15.650,2.620,1.105
15.757,2.597,1.126
15.857,2.574,1.139
15.964,2.547,1.147
16.064,2.519,1.153
16.177,2.519,1.153
16.278,2.495,1.158
16.391,2.479,1.169
16.491,2.467,1.186
16.591,2.457,1.209
16.695,2.448,1.236
16.797,2.448,1.236
16.903,2.448,1.265
17.012,2.452,1.298
17.113,2.457,1.330
17.213,2.458,1.356
17.324,2.458,1.356
